SaanichInlet_120m.260	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__;f__;g__;s__
SaanichInlet_120m.99	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__;f__;g__;s__
SaanichInlet_120m.183	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__GW2011-AR9;f__GW2011-AR9;g__;s__
SaanichInlet_120m.246	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__
SaanichInlet_120m.231	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__
SaanichInlet_120m.10	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIA;g__;s__
SaanichInlet_120m.292	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIA;g__UBA618;s__
SaanichInlet_120m.123	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIA;g__UBA253;s__
SaanichInlet_120m.286	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIA;g__UBA562;s__
SaanichInlet_120m.91	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIA;g__UBA562;s__
SaanichInlet_120m.242	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIA;g__UBA562;s__
SaanichInlet_120m.55	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIB;g__UBA9562;s__
