"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000001",283.054240393478,1.81767062843196,0.085868665651882,21.168031605393,1.88257464071504e-99,1.03347318176762e-97
"ENSMUSG00000000049",1.50983474567593,4.79546376665451,1.7714645718565,2.70706162733407,0.00678816549306474,0.0117788797408343
"ENSMUSG00000000056",23.4957627105964,-3.49755369163756,0.520689489726795,-6.7171582308541,1.85302721108478e-11,8.94952966756223e-11
"ENSMUSG00000000078",358.846133899798,-2.61624012370416,0.128408657789575,-20.3743280923582,2.82566651429298e-92,1.39261123480778e-90
"ENSMUSG00000000088",15.3906694130287,-1.71626722423674,0.39866759362393,-4.30500811123295,1.66979617382854e-05,4.33203427135537e-05
"ENSMUSG00000000131",257.400162768379,0.690117410902471,0.084079541644895,8.20791119220346,2.25069580492305e-16,1.50169695011864e-15
"ENSMUSG00000000134",38.5544028048909,-3.38366172910871,0.383083872219347,-8.83269167533968,1.02186408720413e-18,7.73847590044718e-18
"ENSMUSG00000000142",25.50219988915,-1.22220725574735,0.329564025107687,-3.70855786018509,0.000208443033534701,0.000461193665419722
"ENSMUSG00000000148",9.83009940096472,-1.36548696770337,0.519261613535196,-2.62967054007126,0.0085467651926943,0.0145537476390884
"ENSMUSG00000000149",46.0941165390057,1.87367911182057,0.212970019795348,8.79785386516406,1.39457478983446e-18,1.0504253275384e-17
"ENSMUSG00000000171",29.3647058107429,1.06595163421421,0.234817936446891,4.53948131196229,5.63927779539332e-06,1.55369707575884e-05
"ENSMUSG00000000184",392.735481463788,1.46833376863469,0.0716830755442516,20.4836881995703,3.00982821141125e-93,1.49291350447685e-91
"ENSMUSG00000000194",57.7815323952111,-4.18078023131548,0.39370457198506,-10.6190797080054,2.42944365777992e-26,2.58281170674797e-25
"ENSMUSG00000000244",26.4482425150298,-1.75165619587712,0.346741730833514,-5.05176054715539,4.37756278591413e-07,1.38661773173535e-06
"ENSMUSG00000000266",3.64939402948617,-4.09050188006785,1.32817615815491,-3.07978866730323,0.00207147522266874,0.0039450094796158
"ENSMUSG00000000275",76.7646226321229,-1.78617882567782,0.202369574884131,-8.8263209857535,1.08175274657094e-18,8.17995973951141e-18
"ENSMUSG00000000276",65.9850405904297,2.06587144288732,0.184119478589802,11.2202764135014,3.24255350881476e-29,3.80088377104685e-28
"ENSMUSG00000000278",14.9081122207511,-1.15541261125166,0.437483214105149,-2.64104444239078,0.00826508767031156,0.0141130443216987
"ENSMUSG00000000282",53.2176177131798,-2.97492521731095,0.301207358772612,-9.87666845004535,5.25510361780639e-23,4.85420529390906e-22
"ENSMUSG00000000290",224.833096115148,-3.31045626345661,0.157234928141309,-21.0542040664239,2.09268878191779e-98,1.12089642881472e-96
"ENSMUSG00000000303",18.7229768330937,-4.51812480046992,1.05177356151195,-4.29572007303075,1.74127195625994e-05,4.50912559967532e-05
"ENSMUSG00000000346",133.0616181863,-1.7311523372557,0.146910336710348,-11.7837340518039,4.73480717554873e-32,6.09675588397452e-31
"ENSMUSG00000000355",9.43032429762483,-1.93374796446222,0.619271285779745,-3.12261848541447,0.00179249938670495,0.00344519007467114
"ENSMUSG00000000374",146.160185544376,0.349886153635424,0.112514917887501,3.10968678824671,0.0018728582530237,0.00358935413233241
"ENSMUSG00000000378",82.0377767741422,-1.10851598113681,0.178456584431607,-6.2116843974544,5.24196291130406e-10,2.21056642618306e-09
"ENSMUSG00000000384",61.0366390758004,0.631565402186225,0.169616346552719,3.72349372582392,0.000196484746142048,0.000436789410897915
"ENSMUSG00000000386",9.86607311146125,-4.15608550463106,0.890082494591996,-4.66932619154156,3.02189239389271e-06,8.63413818636581e-06
"ENSMUSG00000000409",283.783039308345,-0.855352071488219,0.0839966448859194,-10.1831694902805,2.35754962440485e-24,2.3223218713965e-23
"ENSMUSG00000000411",1.51516534836769,5.0828371173249,1.79281532008588,2.83511472731136,0.00458092315407828,0.00820068708074869
"ENSMUSG00000000420",67.8600600480198,-0.430304416885673,0.179793434124735,-2.39332664721861,0.0166963691794187,0.0268569542191567
"ENSMUSG00000000439",39.8323841287531,-0.957842447015068,0.250895171174649,-3.81769980877116,0.000134701684479303,0.000308157820669987
"ENSMUSG00000000440",3.28191834678064,-4.09072810574175,1.37097582789627,-2.98380760805891,0.0028468571569646,0.00527662386501639
"ENSMUSG00000000441",250.429607583513,0.500658401654471,0.0909647539514874,5.50387243306873,3.71538432854146e-08,1.31422881568633e-07
"ENSMUSG00000000489",4.92587262182542,-4.37670844612083,1.26470660792784,-3.46065120454446,0.000538870514562094,0.00112271968633642
"ENSMUSG00000000531",13.3704407818506,-4.74330259960211,1.22080827922762,-3.88537879396026,0.000102170457877807,0.000237468959352577
"ENSMUSG00000000532",8.34181046850908,-2.10718657074575,0.699625991702177,-3.01187576753546,0.00259638831973947,0.00485169036913616
"ENSMUSG00000000538",30.1849272483428,1.33943126479072,0.261272465591603,5.12656877852712,2.95070293725393e-07,9.51056069997475e-07
"ENSMUSG00000000561",6.00008477880236,-2.93319406925794,1.12376769232457,-2.61014272726641,0.00905044534929887,0.0153251558680883
"ENSMUSG00000000563",71.1429656411236,1.09476748353081,0.16485035710564,6.6409773248429,3.11609979574262e-11,1.48041131657301e-10
"ENSMUSG00000000568",130.469833756214,1.60122347658934,0.124065049221751,12.9063220192445,4.14637745769433e-38,6.48702014831569e-37
"ENSMUSG00000000594",44.6661652946758,-2.75189366707743,0.30938248616612,-8.89479459932915,5.85274487339077e-19,4.48284222526942e-18
"ENSMUSG00000000600",91.0463867398155,-2.46337834305374,0.243327312138284,-10.123723150543,4.33600915986628e-24,4.209394417879e-23
"ENSMUSG00000000605",105.661755453287,0.33125409623371,0.129596074612082,2.55605038366515,0.0105867788611908,0.0176935699580421
"ENSMUSG00000000627",12.8503805372994,1.01194877690628,0.389111548978472,2.60066497528262,0.00930432697849439,0.0157257092111597
"ENSMUSG00000000628",66.292934168605,-2.88670317719312,0.317315019529462,-9.09727872785141,9.26234198100391e-20,7.41083440866008e-19
"ENSMUSG00000000631",49.0346594857052,-2.57779113710549,0.300830379490121,-8.5689189418788,1.04461029693596e-17,7.52294978549677e-17
