"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000001",283.054240393478,-1.82151188953186,0.0967062325426688,-18.8355170255254,3.86335822069177e-79,2.31455520863534e-77
"ENSMUSG00000000056",23.4957627105964,3.05177850477915,0.534900131650825,5.70532389917471,1.16122058380338e-08,5.21672011570989e-08
"ENSMUSG00000000058",1.52644419576509,4.13381330883443,1.77641835323476,2.32704942577686,0.0199626347891068,0.033782462281735
"ENSMUSG00000000078",358.846133899798,3.38495218800689,0.128255404745271,26.3922771498773,1.68047978084258e-153,2.72543266274834e-151
"ENSMUSG00000000085",7.34018105093048,1.67776094188672,0.610235192166149,2.74936772481308,0.00597103574021459,0.0113215576104022
"ENSMUSG00000000131",257.400162768379,-0.818290507439657,0.093682193882128,-8.73474962028792,2.44196425644197e-18,2.28619114294066e-17
"ENSMUSG00000000134",38.5544028048909,2.68770984381757,0.397842544219148,6.75571248694072,1.42135030258969e-11,8.40869582106856e-11
"ENSMUSG00000000142",25.50219988915,1.46588516120682,0.338911207480874,4.32527791601448,1.52339678095283e-05,4.59077678584435e-05
"ENSMUSG00000000148",9.83009940096472,1.25526642973995,0.546020235299795,2.29893756419255,0.0215084849522012,0.0361612810882243
"ENSMUSG00000000149",46.0941165390057,-1.512118170056,0.225917969605287,-6.69321777589405,2.18315863974604e-11,1.27883236482169e-10
"ENSMUSG00000000171",29.3647058107429,-2.40916494553248,0.337358537757363,-7.14125974563362,9.24794054522435e-13,6.00424316191355e-12
"ENSMUSG00000000184",392.735481463788,-0.824079529810859,0.0724929399981861,-11.3677211854214,6.05477339192463e-30,9.50297571659255e-29
"ENSMUSG00000000194",57.7815323952111,3.4909680763803,0.403075903234776,8.66082057588776,4.68380272759814e-18,4.30716704434798e-17
"ENSMUSG00000000197",1.59443138238472,4.51058417698427,1.77436520586331,2.54208331074079,0.0110193904675572,0.0197816785942641
"ENSMUSG00000000244",26.4482425150298,1.86948618613549,0.357067442301947,5.23566689273954,1.64390203147958e-07,6.50751750922983e-07
"ENSMUSG00000000266",3.64939402948617,5.13435727433126,1.31834813896885,3.89453826539862,9.83859603745391e-05,0.000262536975199202
"ENSMUSG00000000275",76.7646226321229,1.77041623462906,0.209829275744181,8.43741288411779,3.24438767661371e-17,2.83057128544048e-16
"ENSMUSG00000000276",65.9850405904297,-1.09840822562283,0.176848282572866,-6.21102003164921,5.26417617850554e-10,2.71163338858149e-09
"ENSMUSG00000000278",14.9081122207511,1.56649929467038,0.445362364218339,3.51735894302556,0.000435863941536291,0.0010460734596871
"ENSMUSG00000000282",53.2176177131798,2.48923544839758,0.31265459186233,7.96161487208751,1.69808313078024e-15,1.33192099403066e-14
"ENSMUSG00000000290",224.833096115148,2.65426274732505,0.163209793551999,16.2628889453218,1.80998590542072e-59,6.75840318545003e-58
"ENSMUSG00000000303",18.7229768330937,5.64126731498128,1.04868644919141,5.37936512799511,7.4748969411015e-08,3.07814683986472e-07
"ENSMUSG00000000339",12.7514607998387,-1.04447991222207,0.440177948740277,-2.37285832970782,0.0176510326605916,0.0303106930907443
"ENSMUSG00000000340",6.52513740845549,1.42893051797666,0.650911950550117,2.19527467081992,0.0281439007075761,0.0461288760474522
"ENSMUSG00000000346",133.0616181863,1.39632483654929,0.155625625223902,8.97233238125387,2.90300859534491e-19,2.85429920433912e-18
"ENSMUSG00000000355",9.43032429762483,2.16412610929011,0.632260376327651,3.42284000439814,0.000619705416488055,0.00143973233499236
"ENSMUSG00000000374",146.160185544376,-0.333666426143967,0.121902581795579,-2.73715635246758,0.00619728308364132,0.0117172210175728
