"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000078",358.846133899798,0.768712034530658,0.0689927068374646,11.141931803627,7.84000461163576e-29,6.26631663933126e-27
"ENSMUSG00000000088",15.3906694130287,-1.41331174034784,0.372366178093536,-3.79548901993141,0.000147352716956076,0.000994200522787363
"ENSMUSG00000000134",38.5544028048909,-0.695951794183243,0.206762023729979,-3.36595561229427,0.000762789818175801,0.0042540837798915
"ENSMUSG00000000171",29.3647058107429,-1.34321361532126,0.342426921582264,-3.92262853958627,8.75881372307364e-05,0.000629312810862291
"ENSMUSG00000000184",392.735481463788,0.644254212468896,0.0778800936232197,8.27238620931516,1.31304160558449e-16,4.30957017186092e-15
"ENSMUSG00000000194",57.7815323952111,-0.689811938841096,0.167958028131922,-4.10704952012943,4.00745336501659e-05,0.000308631930148507
"ENSMUSG00000000197",1.59443138238472,5.27775624021742,1.77436522894345,2.97444751177866,0.00293516666158543,0.0136256036477932
"ENSMUSG00000000276",65.9850405904297,0.967463082141276,0.203070616689691,4.76417070038074,1.89631924181251e-06,1.94887545797466e-05
"ENSMUSG00000000282",53.2176177131798,-0.485689788389168,0.177023897405706,-2.74363967524711,0.00607621926372633,0.0250285069058057
"ENSMUSG00000000290",224.833096115148,-0.656193558019832,0.087328865233618,-7.51405112461286,5.73251810809899e-14,1.47137810874434e-12
"ENSMUSG00000000303",18.7229768330937,1.12314909231067,0.292959292228189,3.8338060000358,0.000126175666578968,0.000869698763470585
"ENSMUSG00000000346",133.0616181863,-0.334827560495233,0.113456810129062,-2.9511455514601,0.00316597686370557,0.0145352259224768
"ENSMUSG00000000386",9.86607311146125,-1.32571171847243,0.439143122282488,-3.01886025581344,0.00253727537200902,0.0120245806109405
"ENSMUSG00000000399",25.5890165642931,-0.804531454314575,0.302644194173893,-2.65834094888438,0.0078526406218714,0.0310442937552507
"ENSMUSG00000000409",283.783039308345,-0.898141149107124,0.083964446225126,-10.6966840071692,1.05485815051098e-26,6.95394949990699e-25
"ENSMUSG00000000441",250.429607583513,0.233476217219391,0.0933805040998375,2.50026726103096,0.0124099645176938,0.0449591622005506
"ENSMUSG00000000486",144.016960010835,-0.740962382839308,0.122415037379968,-6.05287061702569,1.42287147776298e-09,2.40144588796189e-08
"ENSMUSG00000000531",13.3704407818506,1.39362166615001,0.359820738173999,3.8730999030859,0.000107459752080898,0.00075246215869266
"ENSMUSG00000000538",30.1849272483428,0.84895852921765,0.273726953081702,3.10147948406182,0.0019255621496701,0.00951467939523759
"ENSMUSG00000000555",11.7003761902599,1.66767769871931,0.417486115406165,3.99457044720364,6.48116491152265e-05,0.000477224104654646
"ENSMUSG00000000568",130.469833756214,0.641787096026375,0.13672112237142,4.6941327345374,2.67740153562651e-06,2.66806176282782e-05
"ENSMUSG00000000594",44.6661652946758,-0.475220902510809,0.190402750921067,-2.49587204077643,0.0125647917397331,0.045339630564458
"ENSMUSG00000000600",91.0463867398155,0.829823047731903,0.128773082093098,6.44407227227791,1.16309654669703e-10,2.20146347599367e-09
"ENSMUSG00000000628",66.292934168605,-1.08737193260149,0.258011708699878,-4.21442863225379,2.50411318014466e-05,0.000202349135237881
"ENSMUSG00000000682",97.4764151983659,-2.56083807652153,0.175968796171666,-14.5527964743438,5.60635072931482e-48,1.18470638836179e-45
"ENSMUSG00000000708",43.5961909532686,0.667641580227924,0.203036592682439,3.28828203530856,0.00100800803626767,0.00544642100436607
"ENSMUSG00000000732",12.2322721972439,0.911384286446225,0.355671120844821,2.56243544396134,0.0103940908920126,0.0391071331951672
"ENSMUSG00000000740",268.911179651508,-1.10414049479102,0.110120986880177,-10.02661278356,1.16442804548171e-23,6.43816022566339e-22
"ENSMUSG00000000743",70.3701829574685,-1.33236091046352,0.208934070782921,-6.37694419809502,1.80656246377305e-10,3.34149071536727e-09
"ENSMUSG00000000782",644.169276088546,0.803717863969126,0.0894269146635968,8.9874269619222,2.53085834558842e-19,1.02201625233107e-17
"ENSMUSG00000000787",335.286172879886,0.589744104635635,0.0713109676255338,8.27003368868143,1.33921166622487e-16,4.38613145715178e-15
"ENSMUSG00000000791",25.347443414592,-1.87410592254176,0.290711765716319,-6.4466118800659,1.14378191576913e-10,2.17023122172873e-09
"ENSMUSG00000000804",93.9450184750306,1.20533622992751,0.162710008629577,7.40788006883802,1.28334277263874e-13,3.17766382194626e-12
"ENSMUSG00000000838",78.4060715155798,0.418739453681105,0.141822511519872,2.95255985240702,0.0031515096818951,0.0144946894313994
"ENSMUSG00000000861",4.37463198897005,5.74702115957258,1.28494033465733,4.47259767987999,7.72750821065772e-06,6.95070213746974e-05
"ENSMUSG00000000902",33.4249607925936,-0.753885832698516,0.254131157693774,-2.96652263949052,0.00301188185762927,0.0139314211501617
"ENSMUSG00000000915",128.63896394132,-1.70406736285427,0.12647902636133,-13.4731220810161,2.25140938546173e-41,3.43863774060719e-39
"ENSMUSG00000000982",3.55147707943778,-3.05046072157044,1.00179392235992,-3.04499823115764,0.0023268167838618,0.0111505050350581
"ENSMUSG00000001017",243.964259562017,0.541867343552476,0.102189868877175,5.30255444601621,1.1419339278594e-07,1.45702835162607e-06
"ENSMUSG00000001025",32.5229191192972,-3.06682933668687,0.319348007405968,-9.60340839950255,7.73435808996224e-22,3.74013190895792e-20
"ENSMUSG00000001052",104.318404810849,0.484895666393184,0.140006230836607,3.46338633284884,0.000533421914425627,0.00311334334163062
"ENSMUSG00000001056",5.84200182413641,-1.75203983459406,0.640894918283143,-2.73373962659511,0.00626195402509725,0.0257043381562401
"ENSMUSG00000001062",17.4711596700296,-1.00999099590897,0.371321421799235,-2.7199911898836,0.00652836556589459,0.026620821363862
"ENSMUSG00000001065",15.5577974680918,-0.884462591585186,0.330634550363785,-2.67504587954297,0.00747190241279558,0.0297372462899341
"ENSMUSG00000001082",19.4208238713926,-1.31418516374086,0.358285612524404,-3.6679819613224,0.00024447242707576,0.00156677675948096
"ENSMUSG00000001123",39.4978444820601,-1.27791553775561,0.253887331771573,-5.03339622673797,4.81865713929962e-07,5.53894225267034e-06
"ENSMUSG00000001143",22.3800981490984,0.920282149158216,0.312138778172536,2.94831085886268,0.00319515593636489,0.0146517465738302
"ENSMUSG00000001150",58.7673296768622,-0.610355830285456,0.168383305789338,-3.62480013932654,0.000289185001556229,0.00181561572405633
"ENSMUSG00000001156",724.679622727671,-0.504276479902339,0.0648384680235136,-7.77742743273119,7.40142000026188e-15,2.07589645316436e-13
"ENSMUSG00000001157",39.2699303740334,0.750753365326685,0.238943705812078,3.14196753070001,0.00167816644821716,0.00846269880032621
"ENSMUSG00000001211",86.3271038788986,-0.79155368650063,0.163302492055626,-4.84716232150948,1.25239953061289e-06,1.32780172915701e-05
"ENSMUSG00000001228",25.8414189960663,-1.74834749642264,0.281230809262627,-6.21677084742855,5.07490044503098e-10,8.92650105644788e-09
"ENSMUSG00000001229",46.0600478343301,-0.776085838729841,0.227810432383257,-3.40671772846729,0.000657490860207364,0.00373158719998484
"ENSMUSG00000001248",242.006120422018,-0.701800751422206,0.0905935118641615,-7.7466999234394,9.43114749794912e-15,2.63559567578556e-13
"ENSMUSG00000001288",15.7148962251686,0.832440505061526,0.327028684755824,2.54546632716047,0.0109131888740173,0.0406733151898021
"ENSMUSG00000001289",36.4520403227473,-0.756899029464716,0.233407573867718,-3.2428212029387,0.00118352458062714,0.00627174516686851
"ENSMUSG00000001300",15.3948281253256,1.37439322870391,0.456309246073472,3.0119776018797,0.00259551747807899,0.0122516684874071
"ENSMUSG00000001403",3.62099687132614,-2.67025191503433,0.934153979392046,-2.85847084521563,0.00425688224622065,0.018679154243698
"ENSMUSG00000001418",33.8078958608157,-1.30079318795086,0.234952680542206,-5.53640496864728,3.08743234830006e-08,4.31849275334331e-07
"ENSMUSG00000001419",265.540690150726,-0.363141195133194,0.0795693546164863,-4.56383235585466,5.02281926029092e-06,4.71875821615394e-05
"ENSMUSG00000001424",97.9699080841509,-0.396601397346559,0.131671360225108,-3.01205513992201,0.0025948545865944,0.0122516684874071
"ENSMUSG00000001467",97.054026845333,0.63204876954816,0.14219731759699,4.44487125516312,8.79445167623181e-06,7.80121975604093e-05
"ENSMUSG00000001507",31.817446349617,-1.95803772039236,0.264868550476275,-7.39248852637092,1.44105938413188e-13,3.55108339610518e-12
"ENSMUSG00000001517",11.3054412152107,-2.1212788588306,0.448499793435172,-4.72972092714512,2.248286751453e-06,2.26384278250091e-05
"ENSMUSG00000001518",21.0906519329965,1.07809995129732,0.328804875988364,3.27884417181051,0.00104233175188081,0.00559854094864672
"ENSMUSG00000001525",573.248612898815,-0.788463178622464,0.0701739684597037,-11.2358356799392,2.719087196175e-29,2.25508812302127e-27
"ENSMUSG00000001542",254.82644277034,1.34140129557738,0.0821751556837095,16.3236842621924,6.69690118640565e-60,2.2457912543803e-57
"ENSMUSG00000001588",87.5386378980936,-1.06482060919292,0.148108764365104,-7.18945035938604,6.50526657813705e-13,1.51129882883045e-11
"ENSMUSG00000001627",469.640814074185,0.659670078837841,0.064862071398993,10.1703517110939,2.68935811024216e-24,1.56551087579606e-22
"ENSMUSG00000001687",343.277742956414,0.580403416373839,0.0750485671993825,7.73370416029227,1.04461629670513e-14,2.90870956551865e-13
"ENSMUSG00000001700",657.469738998249,0.225701875580458,0.0536244138520483,4.20893879051392,2.56572875747487e-05,0.000206786477600874
"ENSMUSG00000001729",69.441790275704,-1.24090486936707,0.171780642215164,-7.2237759351998,5.05635451704384e-13,1.18720433454975e-11
"ENSMUSG00000001741",309.448150031558,-0.503670368661162,0.0930101222678988,-5.41522101444433,6.12130468920432e-08,8.18970044541768e-07
"ENSMUSG00000001774",57.0540398823679,1.20738458454836,0.170082138527788,7.09883233477273,1.25815332034204e-12,2.84162124737868e-11
"ENSMUSG00000001794",83.4475213214378,-0.541005994636854,0.153983435043959,-3.51340385725522,0.000442404486059836,0.00263699057262714
"ENSMUSG00000001829",11.3766620164005,1.7663467511726,0.400426207252002,4.41116669983835,1.02815122974737e-05,9.00639458834917e-05
"ENSMUSG00000001833",113.915625443837,0.809052418814679,0.120301027850042,6.7252328036896,1.75311918242786e-11,3.65948802545766e-10
"ENSMUSG00000001910",76.8351080573928,-1.19007576583524,0.18260834337271,-6.51709414726061,7.16824385939399e-11,1.3874194451068e-09
"ENSMUSG00000001911",8.50015010181465,2.22298456604638,0.89138141356592,2.49386461532046,0.0126360730275327,0.0455217334242688
"ENSMUSG00000001918",73.446632538559,-0.689325227513188,0.150472963886442,-4.58105701987371,4.62631674560527e-06,4.3861678884412e-05
"ENSMUSG00000001924",239.038802037039,-0.30857640334859,0.0840838849852156,-3.66986377238452,0.000242679762850033,0.00155658129801439
"ENSMUSG00000001930",2.7660305841197,2.89244021377853,1.04486790435536,2.7682352972293,0.00563607484438327,0.0235424019901046
"ENSMUSG00000001964",38.2564204531494,-0.726970325489788,0.208832451731096,-3.4811176110975,0.000499326186562551,0.0029320920266136
"ENSMUSG00000001986",2.33700094838336,5.82859957483158,1.46895640228778,3.96785062221998,7.25237664046649e-05,0.000528304325322343
"ENSMUSG00000002033",115.689763145306,-0.916623508092234,0.138830466096224,-6.60246654690994,4.04372545270166e-11,8.00751076166569e-10
"ENSMUSG00000002052",161.430053450752,-0.443670212061274,0.116303462659819,-3.81476356691961,0.000136313380628075,0.000928375368462992
"ENSMUSG00000002055",9.10082040723323,-2.51887068451275,0.549149427828449,-4.58685843391178,4.49965568098177e-06,4.28202890406075e-05
"ENSMUSG00000002058",11.5474926348617,-1.50080115060222,0.420561975956503,-3.56856120239802,0.000358947010929286,0.00220514400262651
"ENSMUSG00000002064",17.7118287370698,-1.29567403018571,0.325587307916541,-3.9794979677704,6.90609504123217e-05,0.000505616621291161
"ENSMUSG00000002102",33.8313825489991,-0.940372024808844,0.243257919588835,-3.86574063610468,0.000110752588009623,0.00077411392054211
"ENSMUSG00000002107",534.499841130328,0.183966554465314,0.0599912241314616,3.06655776955275,0.00216538960457412,0.0104909861935177
"ENSMUSG00000002222",263.142669592296,0.484514353053303,0.106290162898865,4.55841199071563,5.15418546655955e-06,4.81869484891804e-05
"ENSMUSG00000002227",71.3003256251872,-1.15080132013865,0.208784805536444,-5.51190167877313,3.54977213482109e-08,4.92435116472574e-07
"ENSMUSG00000002228",9.09335895939246,-1.50529595765612,0.458477932765966,-3.28324625914876,0.00102618979690596,0.00552337885801512
"ENSMUSG00000002233",5.00435103495984,-2.03369841291383,0.679883766010626,-2.99124426054034,0.00277843153141844,0.0129957807166952
"ENSMUSG00000002257",63.0153118181125,-0.565247243611702,0.161625617151259,-3.49726270856375,0.000470058684879066,0.00278140593515323
"ENSMUSG00000002297",116.208200528051,0.662397064275285,0.15376715066838,4.30779305850465,1.64891546471504e-05,0.000138616730020132
"ENSMUSG00000002307",25.6024791791242,-0.940919857579579,0.292304473486769,-3.21897180140888,0.00128651135999205,0.00674107480952357
"ENSMUSG00000002319",6.33226063291378,1.54570520166891,0.623732664176493,2.47815336673074,0.0132064364718867,0.0471034656682831
"ENSMUSG00000002325",81.6745253314779,-0.574919502004421,0.148835037204849,-3.86279677689825,0.000112096257121306,0.000782796225601296
"ENSMUSG00000002341",1.35539330870774,5.04241143456885,1.98283243076401,2.54303457838136,0.0109894353160384,0.0408646089017203
"ENSMUSG00000002379",6.44586033970869,-1.48427597440504,0.556987117052575,-2.66482999150756,0.00770272524252538,0.0305298662875633
"ENSMUSG00000002395",30.5578316029231,-0.976167783436644,0.262535214255742,-3.71823561347369,0.000200619111648326,0.00130911608133971
"ENSMUSG00000002413",267.566698900518,1.51082160522372,0.0974407055275803,15.5050355705407,3.20739014271105e-54,7.73081255335324e-52
"ENSMUSG00000002489",45.309571484536,0.852772113009203,0.192386340743594,4.43260217806081,9.3102556126924e-06,8.22095037672541e-05
"ENSMUSG00000002524",149.189534931283,-0.513617141232762,0.129810108154299,-3.95668063554998,7.59984252697739e-05,0.000550658388074933
"ENSMUSG00000002550",29.0665804867776,-0.893083596533677,0.282706413466285,-3.15904965007164,0.0015828452216383,0.00805574740646399
"ENSMUSG00000002578",110.957580943927,0.831059572170554,0.291092759701495,2.85496476457462,0.00430416038813655,0.0188237225155778
"ENSMUSG00000002603",176.964473543401,-0.589057934966253,0.0952150981425796,-6.1866021929019,6.14748377059787e-10,1.07396471851917e-08
"ENSMUSG00000002608",72.9674352270069,-0.474742752643119,0.192802109191266,-2.46233173814586,0.0138036925174846,0.0487825681397007
"ENSMUSG00000002668",89.7673458121981,-1.04201141222689,0.146440378430047,-7.11560174453281,1.11425611522478e-12,2.53144548357253e-11
"ENSMUSG00000002718",81.2858007937133,0.591524146688953,0.147425861366681,4.01234994461183,6.01172926205428e-05,0.000445636403635028
"ENSMUSG00000002741",34.5411030907152,-1.08775712328235,0.226113040397431,-4.81067841717769,1.50418863493334e-06,1.57740407086891e-05
"ENSMUSG00000002768",7.19511464549412,-2.25493115030502,0.630353405549207,-3.57724909622781,0.000347229248247799,0.00214083068883715
"ENSMUSG00000002812",138.756077070121,-0.519427906705906,0.118860842363533,-4.3700506943847,1.24217695381803e-05,0.000106751095763771
"ENSMUSG00000002835",18.8873151203126,-1.2774647237423,0.34699067939974,-3.68155342371787,0.000231817200207998,0.00149498834883302
"ENSMUSG00000002844",27.6322135356476,-1.70181232304304,0.289795588527736,-5.87245765778853,4.29381398923056e-09,6.75192401609283e-08
"ENSMUSG00000002870",70.3724745424992,-0.663362406835381,0.187442598375226,-3.53901627797247,0.000401621086482832,0.00242926289925532
"ENSMUSG00000002871",20.8766471454104,-0.722664119575646,0.281666333704732,-2.56567446336418,0.0102975421392307,0.0388808064392805
"ENSMUSG00000002881",320.569480018785,0.703459340680263,0.0828035848696159,8.49551793908371,1.97052215019031e-17,6.90847152018994e-16
"ENSMUSG00000002885",338.7733958303,0.462198973147545,0.0747331193030373,6.18466052879931,6.22362524801217e-10,1.08603668637823e-08
"ENSMUSG00000002944",4.20235657762008,2.04530633688943,0.715535820477004,2.85842620083779,0.00425748128619488,0.018679154243698
"ENSMUSG00000002957",52.4746867346306,-0.481666906718432,0.182879519925828,-2.63379358669459,0.00844368021658621,0.0330841277676045
"ENSMUSG00000002963",10.4735804028978,-1.44007731678252,0.431661519775222,-3.33612622578082,0.000849545815172658,0.0046703826603184
"ENSMUSG00000002983",167.530611219147,-0.658955615429923,0.114933553202296,-5.73336155604696,9.84594374425795e-09,1.48034627874194e-07
"ENSMUSG00000002996",324.49926318485,0.747736213959482,0.0981125943147195,7.62120519982318,2.51318051979953e-14,6.67268893260371e-13
"ENSMUSG00000003032",50.6515210992677,1.06391882361686,0.189284693838906,5.62073352070574,1.90148377538344e-08,2.7567940525437e-07
"ENSMUSG00000003033",27.0799156367888,-0.690258748440379,0.251119009434903,-2.74873156752919,0.00598263588539797,0.0247288695520228
"ENSMUSG00000003068",115.111300413746,-0.750280560269728,0.120587084616567,-6.22189816310271,4.91175823591989e-10,8.66919708779179e-09
"ENSMUSG00000003072",45.4629525481384,-1.37879740221202,0.206309869844428,-6.68313834549809,2.33878587825616e-11,4.82973372931452e-10
"ENSMUSG00000003134",28.3607400498131,2.99842035848916,0.468129779299724,6.40510493259904,1.50265997445089e-10,2.80290601763959e-09
"ENSMUSG00000003153",49.9603852105357,0.580800459826969,0.189900926769193,3.05843931205707,0.00222493139658898,0.0107433069752902
"ENSMUSG00000003184",19.5085113812657,-0.940710617779724,0.303387543962806,-3.10068965090752,0.00193070531056239,0.00953623041206261
"ENSMUSG00000003200",70.2874994747169,-0.4958729570215,0.178148030608008,-2.78348828964943,0.00537778037552778,0.0226474583873578
