Sample,Sequence,RPKM
SI072_120m,SaanichInlet_120m_185_135,0
SI072_120m,SaanichInlet_120m_185_136,0.139426
SI072_120m,SaanichInlet_120m_185_137,0.266583
SI072_120m,SaanichInlet_120m_185_138,0.0975878
SI072_120m,SaanichInlet_120m_185_139,0.0812303
SI072_120m,SaanichInlet_120m_185_14,0.233513
SI072_120m,SaanichInlet_120m_185_140,0.575284
SI072_120m,SaanichInlet_120m_185_141,0.259896
SI072_120m,SaanichInlet_120m_185_142,0.10279
SI072_120m,SaanichInlet_120m_185_143,0.0389118
SI072_120m,SaanichInlet_120m_185_144,0.178849
SI072_120m,SaanichInlet_120m_185_145,0.127474
SI072_120m,SaanichInlet_120m_185_146,0.128395
SI072_120m,SaanichInlet_120m_185_147,0.178251
SI072_120m,SaanichInlet_120m_185_148,0
SI072_120m,SaanichInlet_120m_185_149,2.62891
SI072_120m,SaanichInlet_120m_185_15,0.420121
SI072_120m,SaanichInlet_120m_185_150,0.950945
SI072_120m,SaanichInlet_120m_185_151,3.22592
SI072_120m,SaanichInlet_120m_185_152,0.103521
SI072_120m,SaanichInlet_120m_185_153,0.141569
SI072_120m,SaanichInlet_120m_185_154,0.202404
SI072_120m,SaanichInlet_120m_185_155,0.0514049
SI072_120m,SaanichInlet_120m_185_156,0.202844
SI072_120m,SaanichInlet_120m_185_157,0.272681
SI072_120m,SaanichInlet_120m_185_158,0.10009
SI072_120m,SaanichInlet_120m_185_159,0.206728
SI072_120m,SaanichInlet_120m_185_16,0.576649
SI072_120m,SaanichInlet_120m_185_160,0.599157
SI072_120m,SaanichInlet_120m_185_161,0.666711
SI072_120m,SaanichInlet_120m_185_162,0.0273685
SI072_120m,SaanichInlet_120m_185_163,0.236859
SI072_120m,SaanichInlet_120m_185_164,0.206575
SI072_120m,SaanichInlet_120m_185_165,0.186231
SI072_120m,SaanichInlet_120m_185_166,0.118683
SI072_120m,SaanichInlet_120m_185_167,0.266835
SI072_120m,SaanichInlet_120m_185_168,0.058592
SI072_120m,SaanichInlet_120m_185_169,0.136914
SI072_120m,SaanichInlet_120m_185_17,0.204477
SI072_120m,SaanichInlet_120m_185_170,0.300722
SI072_120m,SaanichInlet_120m_185_171,0.123885
SI072_120m,SaanichInlet_120m_185_172,0.153727
SI072_120m,SaanichInlet_120m_185_173,0.112164
SI072_120m,SaanichInlet_120m_185_174,0.294435
SI072_120m,SaanichInlet_120m_185_175,0.633286
SI072_120m,SaanichInlet_120m_185_176,0.412113
SI072_120m,SaanichInlet_120m_185_177,0.299876
SI072_120m,SaanichInlet_120m_185_178,0.734821
SI072_120m,SaanichInlet_120m_185_179,0.190302
SI072_120m,SaanichInlet_120m_185_18,0.16556
SI072_120m,SaanichInlet_120m_185_180,2.81752
SI072_120m,SaanichInlet_120m_185_181,0.443206
SI072_120m,SaanichInlet_120m_185_182,1.13
SI072_120m,SaanichInlet_120m_185_183,0.471879
SI072_120m,SaanichInlet_120m_185_184,0.240464
SI072_120m,SaanichInlet_120m_185_185,0.471727
SI072_120m,SaanichInlet_120m_185_186,0.34563
SI072_120m,SaanichInlet_120m_185_187,0.0298701
SI072_120m,SaanichInlet_120m_185_188,0.268177
SI072_120m,SaanichInlet_120m_185_189,0.148809
SI072_120m,SaanichInlet_120m_185_19,0.410788
SI072_120m,SaanichInlet_120m_185_190,0.147167
SI072_120m,SaanichInlet_120m_185_191,0.418795
SI072_120m,SaanichInlet_120m_185_192,0.989318
SI072_120m,SaanichInlet_120m_185_193,0.301721
SI072_120m,SaanichInlet_120m_185_194,0.344057
SI072_120m,SaanichInlet_120m_185_195,0
SI072_120m,SaanichInlet_120m_185_196,0.439393
SI072_120m,SaanichInlet_120m_185_197,0.204138
SI072_120m,SaanichInlet_120m_185_198,0.424098
SI072_120m,SaanichInlet_120m_185_199,0.160721
SI072_120m,SaanichInlet_120m_185_2,0.0962526
SI072_120m,SaanichInlet_120m_185_20,0.222756
SI072_120m,SaanichInlet_120m_185_200,0.476485
SI072_120m,SaanichInlet_120m_185_201,0.488436
SI072_120m,SaanichInlet_120m_185_202,0.344181
SI072_120m,SaanichInlet_120m_185_203,0.346825
SI072_120m,SaanichInlet_120m_185_204,0.192025
SI072_120m,SaanichInlet_120m_185_205,0.558993
SI072_120m,SaanichInlet_120m_185_206,0.563226
SI072_120m,SaanichInlet_120m_185_207,0.199494
SI072_120m,SaanichInlet_120m_185_208,0.419202
SI072_120m,SaanichInlet_120m_185_209,3.37701
SI072_120m,SaanichInlet_120m_185_21,0.428524
SI072_120m,SaanichInlet_120m_185_210,0.614863
SI072_120m,SaanichInlet_120m_185_211,0.234841
SI072_120m,SaanichInlet_120m_185_212,0.198156
SI072_120m,SaanichInlet_120m_185_213,1.28953
SI072_120m,SaanichInlet_120m_185_214,0.61621
SI072_120m,SaanichInlet_120m_185_215,0.64819
SI072_120m,SaanichInlet_120m_185_216,0.449288
SI072_120m,SaanichInlet_120m_185_217,0.288801
SI072_120m,SaanichInlet_120m_185_218,0.289935
SI072_120m,SaanichInlet_120m_185_219,0.358835
SI072_120m,SaanichInlet_120m_185_22,0.32255
SI072_120m,SaanichInlet_120m_185_220,0.458386
SI072_120m,SaanichInlet_120m_185_221,0.339796
SI072_120m,SaanichInlet_120m_185_222,0.0483225
SI072_120m,SaanichInlet_120m_185_223,0.157154
SI072_120m,SaanichInlet_120m_185_224,0.420146
SI072_120m,SaanichInlet_120m_185_225,0.314884
SI072_120m,SaanichInlet_120m_185_226,0.119507
SI072_120m,SaanichInlet_120m_185_227,0.208391
SI072_120m,SaanichInlet_120m_185_228,0.567748
SI072_120m,SaanichInlet_120m_185_229,0.171482
SI072_120m,SaanichInlet_120m_185_23,0.224042
SI072_120m,SaanichInlet_120m_185_230,0.0986556
SI072_120m,SaanichInlet_120m_185_231,0.0311977
SI072_120m,SaanichInlet_120m_185_232,0.185882
SI072_120m,SaanichInlet_120m_185_233,0.282884
SI072_120m,SaanichInlet_120m_185_234,0.179969
SI072_120m,SaanichInlet_120m_185_235,0.122639
SI072_120m,SaanichInlet_120m_185_236,0.0795222
SI072_120m,SaanichInlet_120m_185_237,0.243877
SI072_120m,SaanichInlet_120m_185_238,0.932348
SI072_120m,SaanichInlet_120m_185_239,0.68917
SI072_120m,SaanichInlet_120m_185_24,0.508592
SI072_120m,SaanichInlet_120m_185_240,0.352606
SI072_120m,SaanichInlet_120m_185_241,0.174272
SI072_120m,SaanichInlet_120m_185_242,0.37724
SI072_120m,SaanichInlet_120m_185_243,0.282663
SI072_120m,SaanichInlet_120m_185_244,0.202697
SI072_120m,SaanichInlet_120m_185_245,0.214231
SI072_120m,SaanichInlet_120m_185_246,0.237534
SI072_120m,SaanichInlet_120m_185_247,0.218304
SI072_120m,SaanichInlet_120m_185_248,0.0615317
SI072_120m,SaanichInlet_120m_185_249,0.267037
SI072_120m,SaanichInlet_120m_185_25,0.392525
SI072_120m,SaanichInlet_120m_185_250,0.248999
SI072_120m,SaanichInlet_120m_185_251,0.70504
SI072_120m,SaanichInlet_120m_185_252,0.213185
SI072_120m,SaanichInlet_120m_185_253,0.0764572
SI072_120m,SaanichInlet_120m_185_254,0.234266
SI072_120m,SaanichInlet_120m_185_255,0.488897
SI072_120m,SaanichInlet_120m_185_256,0.238985
SI072_120m,SaanichInlet_120m_185_257,0.54289
SI072_120m,SaanichInlet_120m_185_258,0.0836569
SI072_120m,SaanichInlet_120m_185_259,0.157195
SI072_120m,SaanichInlet_120m_185_26,0.308154
SI072_120m,SaanichInlet_120m_185_260,0.564131
SI072_120m,SaanichInlet_120m_185_261,0.71078
SI072_120m,SaanichInlet_120m_185_262,1.83784
SI072_120m,SaanichInlet_120m_185_263,1.08009
SI072_120m,SaanichInlet_120m_185_264,0.22129
SI072_120m,SaanichInlet_120m_185_265,0.182399
SI072_120m,SaanichInlet_120m_185_266,1.40031
SI072_120m,SaanichInlet_120m_185_267,0.325994
SI072_120m,SaanichInlet_120m_185_268,0.173121
SI072_120m,SaanichInlet_120m_185_269,1.72314
SI072_120m,SaanichInlet_120m_185_27,0.220683
SI072_120m,SaanichInlet_120m_185_270,0.386905
SI072_120m,SaanichInlet_120m_185_271,0.287066
SI072_120m,SaanichInlet_120m_185_272,0.636358
SI072_120m,SaanichInlet_120m_185_273,0.200024
SI072_120m,SaanichInlet_120m_185_274,0.30027
SI072_120m,SaanichInlet_120m_185_275,0.100538
SI072_120m,SaanichInlet_120m_185_276,0.247555
SI072_120m,SaanichInlet_120m_185_277,0.687227
SI072_120m,SaanichInlet_120m_185_278,0.36107
SI072_120m,SaanichInlet_120m_185_279,0.42617
SI072_120m,SaanichInlet_120m_185_28,0.0601308
SI072_120m,SaanichInlet_120m_185_280,0.250093
SI072_120m,SaanichInlet_120m_185_281,0.125574
SI072_120m,SaanichInlet_120m_185_282,0.428391
SI072_120m,SaanichInlet_120m_185_283,0
SI072_120m,SaanichInlet_120m_185_284,0.399808
SI072_120m,SaanichInlet_120m_185_285,0.19502
SI072_120m,SaanichInlet_120m_185_286,0.0767966
SI072_120m,SaanichInlet_120m_185_287,0.130986
SI072_120m,SaanichInlet_120m_185_288,0.233471
SI072_120m,SaanichInlet_120m_185_289,0.277235
SI072_120m,SaanichInlet_120m_185_29,0.26654
SI072_120m,SaanichInlet_120m_185_290,0.242237
SI072_120m,SaanichInlet_120m_185_291,0.270139
SI072_120m,SaanichInlet_120m_185_292,0.126081
SI072_120m,SaanichInlet_120m_185_293,0.0714004
SI072_120m,SaanichInlet_120m_185_294,0.131399
SI072_120m,SaanichInlet_120m_185_295,0.31516
SI072_120m,SaanichInlet_120m_185_296,0.0435316
SI072_120m,SaanichInlet_120m_185_297,0.0542155
SI072_120m,SaanichInlet_120m_185_298,0.640026
SI072_120m,SaanichInlet_120m_185_299,0.581485
SI072_120m,SaanichInlet_120m_185_3,0.165768
SI072_120m,SaanichInlet_120m_185_30,1.10332
SI072_120m,SaanichInlet_120m_185_300,0.506971
SI072_120m,SaanichInlet_120m_185_301,0.435939
SI072_120m,SaanichInlet_120m_185_302,0.0260934
SI072_120m,SaanichInlet_120m_185_303,0.225184
SI072_120m,SaanichInlet_120m_185_304,0.157079
SI072_120m,SaanichInlet_120m_185_305,0.394993
SI072_120m,SaanichInlet_120m_185_306,0.456409
SI072_120m,SaanichInlet_120m_185_307,0.0739917
SI072_120m,SaanichInlet_120m_185_308,0.17288
SI072_120m,SaanichInlet_120m_185_309,0.221239
SI072_120m,SaanichInlet_120m_185_31,0.73381
SI072_120m,SaanichInlet_120m_185_310,0.0753858
SI072_120m,SaanichInlet_120m_185_311,0.788505
SI072_120m,SaanichInlet_120m_185_312,0.0311612
SI072_120m,SaanichInlet_120m_185_313,0.371076
SI072_120m,SaanichInlet_120m_185_314,0
SI072_120m,SaanichInlet_120m_185_315,0.547403
SI072_120m,SaanichInlet_120m_185_316,0.121487
SI072_120m,SaanichInlet_120m_185_317,0.194938
SI072_120m,SaanichInlet_120m_185_318,0.084112
SI072_120m,SaanichInlet_120m_185_319,0.518207
SI072_120m,SaanichInlet_120m_185_32,0.105874
SI072_120m,SaanichInlet_120m_185_320,0.076815
SI072_120m,SaanichInlet_120m_185_321,0.0609866
SI072_120m,SaanichInlet_120m_185_322,1.42467
SI072_120m,SaanichInlet_120m_185_323,0.27999
SI072_120m,SaanichInlet_120m_185_324,0.373973
SI072_120m,SaanichInlet_120m_185_325,0.0741631
SI072_120m,SaanichInlet_120m_185_326,0.383736
SI072_120m,SaanichInlet_120m_185_327,0.53878
SI072_120m,SaanichInlet_120m_185_328,0.266518
SI072_120m,SaanichInlet_120m_185_329,0.326912
SI072_120m,SaanichInlet_120m_185_33,0.450888
SI072_120m,SaanichInlet_120m_185_330,0.485613
SI072_120m,SaanichInlet_120m_185_331,0.451337
SI072_120m,SaanichInlet_120m_185_332,0.0718734
SI072_120m,SaanichInlet_120m_185_333,0.0532283
SI072_120m,SaanichInlet_120m_185_334,0.31932
SI072_120m,SaanichInlet_120m_185_335,0.0438789
SI072_120m,SaanichInlet_120m_185_336,0.929326
SI072_120m,SaanichInlet_120m_185_337,0.505968
SI072_120m,SaanichInlet_120m_185_338,0.0324778
SI072_120m,SaanichInlet_120m_185_339,0.357685
SI072_120m,SaanichInlet_120m_185_34,0.141537
SI072_120m,SaanichInlet_120m_185_340,0.47862
SI072_120m,SaanichInlet_120m_185_341,0.206691
SI072_120m,SaanichInlet_120m_185_342,0.238232
SI072_120m,SaanichInlet_120m_185_343,0.100404
SI072_120m,SaanichInlet_120m_185_344,0.336205
SI072_120m,SaanichInlet_120m_185_345,0.63233
SI072_120m,SaanichInlet_120m_185_346,0.374449
SI072_120m,SaanichInlet_120m_185_347,0.417165
SI072_120m,SaanichInlet_120m_185_348,0.05121
SI072_120m,SaanichInlet_120m_185_349,0.276042
SI072_120m,SaanichInlet_120m_185_35,2.22553
SI072_120m,SaanichInlet_120m_185_350,0.629606
SI072_120m,SaanichInlet_120m_185_351,0.381985
SI072_120m,SaanichInlet_120m_185_352,0.132754
SI072_120m,SaanichInlet_120m_185_353,0.192882
SI072_120m,SaanichInlet_120m_185_354,0.300074
SI072_120m,SaanichInlet_120m_185_355,0.32897
SI072_120m,SaanichInlet_120m_185_356,8.87663
SI072_120m,SaanichInlet_120m_185_357,0.243391
SI072_120m,SaanichInlet_120m_185_358,0.0849153
SI072_120m,SaanichInlet_120m_185_359,0.215439
SI072_120m,SaanichInlet_120m_185_36,0.184317
SI072_120m,SaanichInlet_120m_185_360,0.23756
SI072_120m,SaanichInlet_120m_185_361,0.312622
SI072_120m,SaanichInlet_120m_185_362,0.100879
SI072_120m,SaanichInlet_120m_185_363,0.298918
SI072_120m,SaanichInlet_120m_185_364,0.173091
SI072_120m,SaanichInlet_120m_185_365,0.0195665
SI072_120m,SaanichInlet_120m_185_366,0.155107
SI072_120m,SaanichInlet_120m_185_367,0.678632
SI072_120m,SaanichInlet_120m_185_368,0.118683
SI072_120m,SaanichInlet_120m_185_369,0.262636
SI072_120m,SaanichInlet_120m_185_37,0.373515
SI072_120m,SaanichInlet_120m_185_370,0.113185
SI072_120m,SaanichInlet_120m_185_371,0.23444
SI072_120m,SaanichInlet_120m_185_372,0.252671
SI072_120m,SaanichInlet_120m_185_373,0.401544
SI072_120m,SaanichInlet_120m_185_374,0.359347
SI072_120m,SaanichInlet_120m_185_375,0.310539
SI072_120m,SaanichInlet_120m_185_376,0.423157
SI072_120m,SaanichInlet_120m_185_377,0.0739148
SI072_120m,SaanichInlet_120m_185_378,0.308259
SI072_120m,SaanichInlet_120m_185_379,0.295284
SI072_120m,SaanichInlet_120m_185_38,0.219449
SI072_120m,SaanichInlet_120m_185_380,0.145033
SI072_120m,SaanichInlet_120m_185_381,0.505083
SI072_120m,SaanichInlet_120m_185_382,0.488745
SI072_120m,SaanichInlet_120m_185_383,2.23385
SI072_120m,SaanichInlet_120m_185_384,0.174213
SI072_120m,SaanichInlet_120m_185_385,0.128125
SI072_120m,SaanichInlet_120m_185_386,0.257969
SI072_120m,SaanichInlet_120m_185_387,7.38024
SI072_120m,SaanichInlet_120m_185_388,0.296195
SI072_120m,SaanichInlet_120m_185_389,0.285385
SI072_120m,SaanichInlet_120m_185_39,0.140414
SI072_120m,SaanichInlet_120m_185_390,0.149384
SI072_120m,SaanichInlet_120m_185_391,0.174226
SI072_120m,SaanichInlet_120m_185_392,0.43823
SI072_120m,SaanichInlet_120m_185_393,0.381142
SI072_120m,SaanichInlet_120m_185_394,0.211969
SI072_120m,SaanichInlet_120m_185_395,0.0890246
SI072_120m,SaanichInlet_120m_185_396,0.0447363
SI072_120m,SaanichInlet_120m_185_397,0.791395
SI072_120m,SaanichInlet_120m_185_398,0.230765
SI072_120m,SaanichInlet_120m_185_399,0.282585
SI072_120m,SaanichInlet_120m_185_4,0.350589
SI072_120m,SaanichInlet_120m_185_40,0.153527
SI072_120m,SaanichInlet_120m_185_400,0.404317
SI072_120m,SaanichInlet_120m_185_401,0.258914
SI072_120m,SaanichInlet_120m_185_402,0.345183
SI072_120m,SaanichInlet_120m_185_403,0.193212
SI072_120m,SaanichInlet_120m_185_404,0.299928
SI072_120m,SaanichInlet_120m_185_405,0.76253
SI072_120m,SaanichInlet_120m_185_406,0.346677
SI072_120m,SaanichInlet_120m_185_407,0.324836
SI072_120m,SaanichInlet_120m_185_408,0.165381
SI072_120m,SaanichInlet_120m_185_409,0.327502
SI072_120m,SaanichInlet_120m_185_41,0.174525
SI072_120m,SaanichInlet_120m_185_410,0.291337
SI072_120m,SaanichInlet_120m_185_411,0.211559
SI072_120m,SaanichInlet_120m_185_412,0.107578
SI072_120m,SaanichInlet_120m_185_413,0.227983
SI072_120m,SaanichInlet_120m_185_414,0.731918
SI072_120m,SaanichInlet_120m_185_415,0.2351
SI072_120m,SaanichInlet_120m_185_416,0.116966
SI072_120m,SaanichInlet_120m_185_417,0.144701
SI072_120m,SaanichInlet_120m_185_418,0.222181
SI072_120m,SaanichInlet_120m_185_419,0.363586
SI072_120m,SaanichInlet_120m_185_42,0.16526
SI072_120m,SaanichInlet_120m_185_420,0.160687
SI072_120m,SaanichInlet_120m_185_421,0.172626
SI072_120m,SaanichInlet_120m_185_422,0.345854
SI072_120m,SaanichInlet_120m_185_423,0.145619
SI072_120m,SaanichInlet_120m_185_424,0.0708944
SI072_120m,SaanichInlet_120m_185_425,0.726308
SI072_120m,SaanichInlet_120m_185_426,0.294247
SI072_120m,SaanichInlet_120m_185_427,3.63481
SI072_120m,SaanichInlet_120m_185_428,0.332239
SI072_120m,SaanichInlet_120m_185_429,0.0318496
SI072_120m,SaanichInlet_120m_185_43,0.0695692
SI072_120m,SaanichInlet_120m_185_430,0.24441
SI072_120m,SaanichInlet_120m_185_431,0.19696
SI072_120m,SaanichInlet_120m_185_432,0.0746387
SI072_120m,SaanichInlet_120m_185_433,0.167316
SI072_120m,SaanichInlet_120m_185_434,0.0338074
SI072_120m,SaanichInlet_120m_185_435,0.155232
SI072_120m,SaanichInlet_120m_185_436,0.226899
SI072_120m,SaanichInlet_120m_185_437,0.153281
SI072_120m,SaanichInlet_120m_185_438,0.11239
SI072_120m,SaanichInlet_120m_185_439,0.197952
SI072_120m,SaanichInlet_120m_185_44,1.03478
SI072_120m,SaanichInlet_120m_185_440,0.339891
SI072_120m,SaanichInlet_120m_185_441,0.745207
SI072_120m,SaanichInlet_120m_185_442,1.12881
SI072_120m,SaanichInlet_120m_185_443,0.194716
SI072_120m,SaanichInlet_120m_185_444,0.258392
SI072_120m,SaanichInlet_120m_185_445,0.163582
SI072_120m,SaanichInlet_120m_185_446,0.317953
SI072_120m,SaanichInlet_120m_185_447,0
SI072_120m,SaanichInlet_120m_185_448,0.0607781
SI072_120m,SaanichInlet_120m_185_449,9.0475
SI072_120m,SaanichInlet_120m_185_45,0.336716
SI072_120m,SaanichInlet_120m_185_450,0.140537
SI072_120m,SaanichInlet_120m_185_451,1.75952
SI072_120m,SaanichInlet_120m_185_452,0.566671
SI072_120m,SaanichInlet_120m_185_453,0
SI072_120m,SaanichInlet_120m_185_454,1.05305
SI072_120m,SaanichInlet_120m_185_455,0.202306
SI072_120m,SaanichInlet_120m_185_456,0
SI072_120m,SaanichInlet_120m_185_457,0.169561
SI072_120m,SaanichInlet_120m_185_458,0.297826
SI072_120m,SaanichInlet_120m_185_459,0.096492
SI072_120m,SaanichInlet_120m_185_46,0.183157
SI072_120m,SaanichInlet_120m_185_460,0.630526
SI072_120m,SaanichInlet_120m_185_461,0.176172
SI072_120m,SaanichInlet_120m_185_462,0.736497
SI072_120m,SaanichInlet_120m_185_463,0.21114
SI072_120m,SaanichInlet_120m_185_464,0.426955
SI072_120m,SaanichInlet_120m_185_465,0.602803
SI072_120m,SaanichInlet_120m_185_466,0.179261
SI072_120m,SaanichInlet_120m_185_467,1.17357
SI072_120m,SaanichInlet_120m_185_468,0.0337753
SI072_120m,SaanichInlet_120m_185_469,0.0875275
SI072_120m,SaanichInlet_120m_185_47,0.452812
SI072_120m,SaanichInlet_120m_185_470,0.201599
SI072_120m,SaanichInlet_120m_185_471,0.400812
SI072_120m,SaanichInlet_120m_185_472,0.81922
SI072_120m,SaanichInlet_120m_185_473,0.252671
SI072_120m,SaanichInlet_120m_185_474,0.39723
SI072_120m,SaanichInlet_120m_185_475,0.993377
SI072_120m,SaanichInlet_120m_185_476,0.387399
SI072_120m,SaanichInlet_120m_185_477,1.01867
SI072_120m,SaanichInlet_120m_185_478,0.284618
SI072_120m,SaanichInlet_120m_185_479,0.487066
SI072_120m,SaanichInlet_120m_185_48,0.131956
SI072_120m,SaanichInlet_120m_185_480,0.891159
SI072_120m,SaanichInlet_120m_185_481,0.0788297
SI072_120m,SaanichInlet_120m_185_482,0.237513
SI072_120m,SaanichInlet_120m_185_483,0.207407
SI072_120m,SaanichInlet_120m_185_484,0.459897
SI072_120m,SaanichInlet_120m_185_485,0.396506
SI072_120m,SaanichInlet_120m_185_486,0.066312
SI072_120m,SaanichInlet_120m_185_487,3.59602
SI072_120m,SaanichInlet_120m_185_488,0.17209
SI072_120m,SaanichInlet_120m_185_489,0.119928
SI072_120m,SaanichInlet_120m_185_49,0.386207
SI072_120m,SaanichInlet_120m_185_490,0.135127
SI072_120m,SaanichInlet_120m_185_491,0.939941
SI072_120m,SaanichInlet_120m_185_492,0.118948
SI072_120m,SaanichInlet_120m_185_493,0.0404458
SI072_120m,SaanichInlet_120m_185_494,2.57792
SI072_120m,SaanichInlet_120m_185_495,0.124986
SI072_120m,SaanichInlet_120m_185_496,0.154185
SI072_120m,SaanichInlet_120m_185_497,39.0493
SI072_120m,SaanichInlet_120m_185_498,0.0707065
SI072_120m,SaanichInlet_120m_185_499,0.11665
SI072_120m,SaanichInlet_120m_185_5,0.435099
SI072_120m,SaanichInlet_120m_185_50,0.254091
SI072_120m,SaanichInlet_120m_185_500,0.0294903
SI072_120m,SaanichInlet_120m_185_501,0.29403
SI072_120m,SaanichInlet_120m_185_502,0.0554121
SI072_120m,SaanichInlet_120m_185_503,0.379909
SI072_120m,SaanichInlet_120m_185_504,0.0475261
SI072_120m,SaanichInlet_120m_185_505,0.225335
SI072_120m,SaanichInlet_120m_185_506,0.302827
SI072_120m,SaanichInlet_120m_185_507,0.0760214
SI072_120m,SaanichInlet_120m_185_508,0.0706362
SI072_120m,SaanichInlet_120m_185_509,0.198763
SI072_120m,SaanichInlet_120m_185_51,0.494417
SI072_120m,SaanichInlet_120m_185_510,0.116914
SI072_120m,SaanichInlet_120m_185_511,0.368379
SI072_120m,SaanichInlet_120m_185_512,0.429607
SI072_120m,SaanichInlet_120m_185_513,0.126148
SI072_120m,SaanichInlet_120m_185_514,0.297322
SI072_120m,SaanichInlet_120m_185_515,0.524673
SI072_120m,SaanichInlet_120m_185_516,0.257464
SI072_120m,SaanichInlet_120m_185_517,0.108836
SI072_120m,SaanichInlet_120m_185_518,0.330017
SI072_120m,SaanichInlet_120m_185_519,0.0695768
SI072_120m,SaanichInlet_120m_185_52,0.858118
SI072_120m,SaanichInlet_120m_185_520,0.89081
SI072_120m,SaanichInlet_120m_185_521,0.273881
SI072_120m,SaanichInlet_120m_185_522,0.520468
SI072_120m,SaanichInlet_120m_185_523,0.786612
SI072_120m,SaanichInlet_120m_185_524,0.0653241
SI072_120m,SaanichInlet_120m_185_525,0.319131
SI072_120m,SaanichInlet_120m_185_526,1.11115
SI072_120m,SaanichInlet_120m_185_527,11.0758
SI072_120m,SaanichInlet_120m_185_528,0.0956058
SI072_120m,SaanichInlet_120m_185_529,0.262583
SI072_120m,SaanichInlet_120m_185_53,0.191212
SI072_120m,SaanichInlet_120m_185_530,0.707497
SI072_120m,SaanichInlet_120m_185_531,0.780655
SI072_120m,SaanichInlet_120m_185_532,0.405909
SI072_120m,SaanichInlet_120m_185_533,1.73157
SI072_120m,SaanichInlet_120m_185_534,0.0316043
SI072_120m,SaanichInlet_120m_185_535,0.271399
SI072_120m,SaanichInlet_120m_185_536,1.94245
SI072_120m,SaanichInlet_120m_185_537,0.449396
SI072_120m,SaanichInlet_120m_185_538,0.562815
SI072_120m,SaanichInlet_120m_185_539,1.19391
SI072_120m,SaanichInlet_120m_185_54,0.0840568
SI072_120m,SaanichInlet_120m_185_540,0.0646251
SI072_120m,SaanichInlet_120m_185_541,0.330442
SI072_120m,SaanichInlet_120m_185_542,0.0923509
SI072_120m,SaanichInlet_120m_185_543,0.329106
SI072_120m,SaanichInlet_120m_185_544,0.174682
SI072_120m,SaanichInlet_120m_185_545,0.404013
SI072_120m,SaanichInlet_120m_185_546,2.05371
SI072_120m,SaanichInlet_120m_185_547,0.196856
SI072_120m,SaanichInlet_120m_185_548,0.149481
SI072_120m,SaanichInlet_120m_185_549,0.495397
SI072_120m,SaanichInlet_120m_185_55,0.742392
SI072_120m,SaanichInlet_120m_185_550,0.753895
SI072_120m,SaanichInlet_120m_185_551,0.166713
SI072_120m,SaanichInlet_120m_185_552,0.816849
SI072_120m,SaanichInlet_120m_185_553,0.0414998
SI072_120m,SaanichInlet_120m_185_554,0.113597
SI072_120m,SaanichInlet_120m_185_555,0.0499981
SI072_120m,SaanichInlet_120m_185_556,0.0774282
SI072_120m,SaanichInlet_120m_185_557,11.392
SI072_120m,SaanichInlet_120m_185_558,0.50074
SI072_120m,SaanichInlet_120m_185_559,0.0711623
SI072_120m,SaanichInlet_120m_185_56,0.170659
SI072_120m,SaanichInlet_120m_185_560,0.104775
SI072_120m,SaanichInlet_120m_185_561,0.0835085
SI072_120m,SaanichInlet_120m_185_562,0.150828
SI072_120m,SaanichInlet_120m_185_563,1.43036
SI072_120m,SaanichInlet_120m_185_564,0.819441
SI072_120m,SaanichInlet_120m_185_565,1.96403
SI072_120m,SaanichInlet_120m_185_566,0.394003
SI072_120m,SaanichInlet_120m_185_567,0
SI072_120m,SaanichInlet_120m_185_568,1.4064
SI072_120m,SaanichInlet_120m_185_569,0.605654
SI072_120m,SaanichInlet_120m_185_57,0.180331
SI072_120m,SaanichInlet_120m_185_570,1.26868
SI072_120m,SaanichInlet_120m_185_571,0.118859
SI072_120m,SaanichInlet_120m_185_572,1.45643
SI072_120m,SaanichInlet_120m_185_573,0.241394
SI072_120m,SaanichInlet_120m_185_574,0.481367
SI072_120m,SaanichInlet_120m_185_575,1.34963
SI072_120m,SaanichInlet_120m_185_576,0.512039
SI072_120m,SaanichInlet_120m_185_577,0.0395317
SI072_120m,SaanichInlet_120m_185_578,0.763262
SI072_120m,SaanichInlet_120m_185_579,0.169763
SI072_120m,SaanichInlet_120m_185_58,0.342419
SI072_120m,SaanichInlet_120m_185_580,0.285611
SI072_120m,SaanichInlet_120m_185_581,0.51072
SI072_120m,SaanichInlet_120m_185_582,0.0397674
SI072_120m,SaanichInlet_120m_185_583,3.57266
SI072_120m,SaanichInlet_120m_185_584,0.0848477
SI072_120m,SaanichInlet_120m_185_59,0.216253
SI072_120m,SaanichInlet_120m_185_6,0.347842
SI072_120m,SaanichInlet_120m_185_60,0.229342
SI072_120m,SaanichInlet_120m_185_61,0.168702
SI072_120m,SaanichInlet_120m_185_62,0.118815
SI072_120m,SaanichInlet_120m_185_63,0.0695541
SI072_120m,SaanichInlet_120m_185_64,0.30514
SI072_120m,SaanichInlet_120m_185_65,37.9176
SI072_120m,SaanichInlet_120m_185_66,0.269095
SI072_120m,SaanichInlet_120m_185_67,0.102662
SI072_120m,SaanichInlet_120m_185_68,0.286817
SI072_120m,SaanichInlet_120m_185_69,0.520624
SI072_120m,SaanichInlet_120m_185_7,0.394569
SI072_120m,SaanichInlet_120m_185_70,0.185429
SI072_120m,SaanichInlet_120m_185_71,0.150276
SI072_120m,SaanichInlet_120m_185_72,0.571519
SI072_120m,SaanichInlet_120m_185_73,0.402202
