Sample,Sequence,RPKM
SI072_120m,SaanichInlet_120m_111_143,15.1464
SI072_120m,SaanichInlet_120m_111_144,3.50974
SI072_120m,SaanichInlet_120m_111_145,3.63601
SI072_120m,SaanichInlet_120m_111_146,16.4553
SI072_120m,SaanichInlet_120m_111_147,79.4692
SI072_120m,SaanichInlet_120m_111_148,39.8463
SI072_120m,SaanichInlet_120m_111_149,15.5687
SI072_120m,SaanichInlet_120m_111_15,9.97473
SI072_120m,SaanichInlet_120m_111_150,7.10411
SI072_120m,SaanichInlet_120m_111_151,1.82247
SI072_120m,SaanichInlet_120m_111_152,1.34097
SI072_120m,SaanichInlet_120m_111_153,2.85188
SI072_120m,SaanichInlet_120m_111_154,3.16637
SI072_120m,SaanichInlet_120m_111_155,5.35392
SI072_120m,SaanichInlet_120m_111_156,1.85236
SI072_120m,SaanichInlet_120m_111_157,0.83055
SI072_120m,SaanichInlet_120m_111_158,3.17659
SI072_120m,SaanichInlet_120m_111_159,5.218
SI072_120m,SaanichInlet_120m_111_16,5.6072
SI072_120m,SaanichInlet_120m_111_160,4.68964
SI072_120m,SaanichInlet_120m_111_161,0.628335
SI072_120m,SaanichInlet_120m_111_162,1.0423
SI072_120m,SaanichInlet_120m_111_163,8.6186
SI072_120m,SaanichInlet_120m_111_164,0.942251
SI072_120m,SaanichInlet_120m_111_165,6.52378
SI072_120m,SaanichInlet_120m_111_166,4.03353
SI072_120m,SaanichInlet_120m_111_167,2.0504
SI072_120m,SaanichInlet_120m_111_168,1.46633
SI072_120m,SaanichInlet_120m_111_169,1.80885
SI072_120m,SaanichInlet_120m_111_17,37.7629
SI072_120m,SaanichInlet_120m_111_170,2.85776
SI072_120m,SaanichInlet_120m_111_171,1.14512
SI072_120m,SaanichInlet_120m_111_172,0.882627
SI072_120m,SaanichInlet_120m_111_173,5.06055
SI072_120m,SaanichInlet_120m_111_174,0.900504
SI072_120m,SaanichInlet_120m_111_175,0.560517
SI072_120m,SaanichInlet_120m_111_176,0.910635
SI072_120m,SaanichInlet_120m_111_177,2.6727
SI072_120m,SaanichInlet_120m_111_178,0.196058
SI072_120m,SaanichInlet_120m_111_179,0.959617
SI072_120m,SaanichInlet_120m_111_18,8.53502
SI072_120m,SaanichInlet_120m_111_180,3.77297
SI072_120m,SaanichInlet_120m_111_181,12.4971
SI072_120m,SaanichInlet_120m_111_19,62.5534
SI072_120m,SaanichInlet_120m_111_2,18.8759
SI072_120m,SaanichInlet_120m_111_20,10.1641
SI072_120m,SaanichInlet_120m_111_21,14.4799
SI072_120m,SaanichInlet_120m_111_22,11.3729
SI072_120m,SaanichInlet_120m_111_23,3.55712
SI072_120m,SaanichInlet_120m_111_24,7.52772
SI072_120m,SaanichInlet_120m_111_25,17.4169
SI072_120m,SaanichInlet_120m_111_26,32.7669
SI072_120m,SaanichInlet_120m_111_27,3.77048
SI072_120m,SaanichInlet_120m_111_28,6.65211
SI072_120m,SaanichInlet_120m_111_29,3.92129
SI072_120m,SaanichInlet_120m_111_3,10.2712
SI072_120m,SaanichInlet_120m_111_30,16.1655
SI072_120m,SaanichInlet_120m_111_31,9.85376
SI072_120m,SaanichInlet_120m_111_32,29.238
SI072_120m,SaanichInlet_120m_111_33,1.88535
SI072_120m,SaanichInlet_120m_111_34,23.6855
SI072_120m,SaanichInlet_120m_111_35,7.32244
SI072_120m,SaanichInlet_120m_111_36,6.94025
SI072_120m,SaanichInlet_120m_111_37,17.2105
SI072_120m,SaanichInlet_120m_111_38,5.78082
SI072_120m,SaanichInlet_120m_111_39,15.2205
SI072_120m,SaanichInlet_120m_111_4,7.17016
SI072_120m,SaanichInlet_120m_111_40,3.59663
SI072_120m,SaanichInlet_120m_111_41,1.4554
SI072_120m,SaanichInlet_120m_111_42,4.27907
SI072_120m,SaanichInlet_120m_111_43,10.1551
SI072_120m,SaanichInlet_120m_111_44,12.2364
SI072_120m,SaanichInlet_120m_111_45,5.91789
SI072_120m,SaanichInlet_120m_111_46,10.2518
SI072_120m,SaanichInlet_120m_111_47,3.90986
SI072_120m,SaanichInlet_120m_111_48,4.82591
SI072_120m,SaanichInlet_120m_111_49,1.64926
SI072_120m,SaanichInlet_120m_111_5,7.76276
SI072_120m,SaanichInlet_120m_111_50,6.04668
SI072_120m,SaanichInlet_120m_111_51,44.3192
SI072_120m,SaanichInlet_120m_111_52,6.5286
SI072_120m,SaanichInlet_120m_111_53,16.9178
SI072_120m,SaanichInlet_120m_111_54,0.650586
SI072_120m,SaanichInlet_120m_111_55,10.8684
SI072_120m,SaanichInlet_120m_111_56,1.39505
SI072_120m,SaanichInlet_120m_111_57,7.60953
SI072_120m,SaanichInlet_120m_111_58,10.0824
SI072_120m,SaanichInlet_120m_111_59,2.76237
SI072_120m,SaanichInlet_120m_111_6,49.3635
SI072_120m,SaanichInlet_120m_111_60,11.9175
SI072_120m,SaanichInlet_120m_111_61,5.29508
SI072_120m,SaanichInlet_120m_111_62,5.25995
SI072_120m,SaanichInlet_120m_111_63,30.4904
SI072_120m,SaanichInlet_120m_111_64,6.89119
SI072_120m,SaanichInlet_120m_111_65,8.89134
SI072_120m,SaanichInlet_120m_111_66,2.00914
SI072_120m,SaanichInlet_120m_111_67,0.565263
SI072_120m,SaanichInlet_120m_111_68,1.66456
SI072_120m,SaanichInlet_120m_111_69,14.7556
SI072_120m,SaanichInlet_120m_111_7,4.17648
SI072_120m,SaanichInlet_120m_111_70,5.76666
SI072_120m,SaanichInlet_120m_111_71,1.22717
SI072_120m,SaanichInlet_120m_111_72,3.78275
SI072_120m,SaanichInlet_120m_111_73,6.60323
SI072_120m,SaanichInlet_120m_111_74,27.0407
SI072_120m,SaanichInlet_120m_111_75,7.37416
SI072_120m,SaanichInlet_120m_111_76,0.884454
SI072_120m,SaanichInlet_120m_111_77,1.62088
SI072_120m,SaanichInlet_120m_111_78,4.15797
SI072_120m,SaanichInlet_120m_111_79,6.34572
SI072_120m,SaanichInlet_120m_111_8,1.6387
SI072_120m,SaanichInlet_120m_111_80,10.436
SI072_120m,SaanichInlet_120m_111_81,3.90768
SI072_120m,SaanichInlet_120m_111_82,6.76686
SI072_120m,SaanichInlet_120m_111_83,7.34068
SI072_120m,SaanichInlet_120m_111_84,7.1516
SI072_120m,SaanichInlet_120m_111_85,5.14891
SI072_120m,SaanichInlet_120m_111_86,6.64151
SI072_120m,SaanichInlet_120m_111_87,173.227
SI072_120m,SaanichInlet_120m_111_88,4.26333
SI072_120m,SaanichInlet_120m_111_89,17.4368
SI072_120m,SaanichInlet_120m_111_9,10.4198
SI072_120m,SaanichInlet_120m_111_90,10.4951
SI072_120m,SaanichInlet_120m_111_91,4.96261
SI072_120m,SaanichInlet_120m_111_92,4.56469
SI072_120m,SaanichInlet_120m_111_93,22.3343
SI072_120m,SaanichInlet_120m_111_94,6.48903
SI072_120m,SaanichInlet_120m_111_95,2.46679
SI072_120m,SaanichInlet_120m_111_96,12.0451
SI072_120m,SaanichInlet_120m_111_97,7.66542
SI072_120m,SaanichInlet_120m_111_98,2.11629
SI072_120m,SaanichInlet_120m_111_99,6.16385
SI072_120m,SaanichInlet_120m_11_1,0.076512
SI072_120m,SaanichInlet_120m_11_10,0.0724837
SI072_120m,SaanichInlet_120m_11_100,0.32656
SI072_120m,SaanichInlet_120m_11_101,0.299919
SI072_120m,SaanichInlet_120m_11_102,0.178806
SI072_120m,SaanichInlet_120m_11_103,0.578473
SI072_120m,SaanichInlet_120m_11_104,0.155988
SI072_120m,SaanichInlet_120m_11_105,0.326954
SI072_120m,SaanichInlet_120m_11_106,0.246646
SI072_120m,SaanichInlet_120m_11_107,0.522568
SI072_120m,SaanichInlet_120m_11_108,0.224286
SI072_120m,SaanichInlet_120m_11_109,0.253646
SI072_120m,SaanichInlet_120m_11_11,0.235272
SI072_120m,SaanichInlet_120m_11_110,0.219308
SI072_120m,SaanichInlet_120m_11_111,0.595355
SI072_120m,SaanichInlet_120m_11_112,0.243519
SI072_120m,SaanichInlet_120m_11_113,0.131108
SI072_120m,SaanichInlet_120m_11_114,0.742891
SI072_120m,SaanichInlet_120m_11_115,0.605883
SI072_120m,SaanichInlet_120m_11_116,0.250041
SI072_120m,SaanichInlet_120m_11_117,0.192091
SI072_120m,SaanichInlet_120m_11_118,0.488285
SI072_120m,SaanichInlet_120m_11_119,0.641384
SI072_120m,SaanichInlet_120m_11_12,0.741179
SI072_120m,SaanichInlet_120m_11_120,0.14856
SI072_120m,SaanichInlet_120m_11_121,0.115597
SI072_120m,SaanichInlet_120m_11_122,0.232032
SI072_120m,SaanichInlet_120m_11_123,0.163896
SI072_120m,SaanichInlet_120m_11_124,0.10564
SI072_120m,SaanichInlet_120m_11_125,1.01065
SI072_120m,SaanichInlet_120m_11_126,0.348163
SI072_120m,SaanichInlet_120m_11_127,0.136005
SI072_120m,SaanichInlet_120m_11_128,3.39391
SI072_120m,SaanichInlet_120m_11_129,0.17759
SI072_120m,SaanichInlet_120m_11_13,0.341914
SI072_120m,SaanichInlet_120m_11_130,0.293443
SI072_120m,SaanichInlet_120m_11_131,0.329591
SI072_120m,SaanichInlet_120m_11_132,0.206642
SI072_120m,SaanichInlet_120m_11_133,0.125377
SI072_120m,SaanichInlet_120m_11_134,0.253837
SI072_120m,SaanichInlet_120m_11_135,0.038644
SI072_120m,SaanichInlet_120m_11_136,0.493506
SI072_120m,SaanichInlet_120m_11_137,0.0616918
SI072_120m,SaanichInlet_120m_11_138,0.230853
SI072_120m,SaanichInlet_120m_11_139,0.20278
SI072_120m,SaanichInlet_120m_11_14,0.1397
SI072_120m,SaanichInlet_120m_11_140,0.0368426
SI072_120m,SaanichInlet_120m_11_141,0.279553
SI072_120m,SaanichInlet_120m_11_142,11.0622
SI072_120m,SaanichInlet_120m_11_143,0.45067
SI072_120m,SaanichInlet_120m_11_144,0.386773
SI072_120m,SaanichInlet_120m_11_145,0.350206
SI072_120m,SaanichInlet_120m_11_146,6.15284
SI072_120m,SaanichInlet_120m_11_147,0.126918
SI072_120m,SaanichInlet_120m_11_148,0.123777
SI072_120m,SaanichInlet_120m_11_149,0.987736
SI072_120m,SaanichInlet_120m_11_15,0.297369
SI072_120m,SaanichInlet_120m_11_150,0.211867
SI072_120m,SaanichInlet_120m_11_151,0.656086
SI072_120m,SaanichInlet_120m_11_152,0.103154
SI072_120m,SaanichInlet_120m_11_153,0.417558
SI072_120m,SaanichInlet_120m_11_154,2.68103
SI072_120m,SaanichInlet_120m_11_155,17.4664
SI072_120m,SaanichInlet_120m_11_156,0.272733
SI072_120m,SaanichInlet_120m_11_157,1.2606
SI072_120m,SaanichInlet_120m_11_158,0.710471
SI072_120m,SaanichInlet_120m_11_159,1.51015
SI072_120m,SaanichInlet_120m_11_16,0.145362
SI072_120m,SaanichInlet_120m_11_160,0.461939
SI072_120m,SaanichInlet_120m_11_161,0.432071
SI072_120m,SaanichInlet_120m_11_162,0.22543
SI072_120m,SaanichInlet_120m_11_163,0.116735
SI072_120m,SaanichInlet_120m_11_164,0.0396935
SI072_120m,SaanichInlet_120m_11_165,0.902292
SI072_120m,SaanichInlet_120m_11_166,0.225216
SI072_120m,SaanichInlet_120m_11_167,0.238961
SI072_120m,SaanichInlet_120m_11_168,0.177965
SI072_120m,SaanichInlet_120m_11_169,0.490313
SI072_120m,SaanichInlet_120m_11_17,0.356734
SI072_120m,SaanichInlet_120m_11_170,0.206529
SI072_120m,SaanichInlet_120m_11_171,0.229606
SI072_120m,SaanichInlet_120m_11_172,0.343159
SI072_120m,SaanichInlet_120m_11_173,0.583942
SI072_120m,SaanichInlet_120m_11_174,0.577568
SI072_120m,SaanichInlet_120m_11_175,0.883767
SI072_120m,SaanichInlet_120m_11_176,0.299603
SI072_120m,SaanichInlet_120m_11_177,0.164097
SI072_120m,SaanichInlet_120m_11_178,0.215113
SI072_120m,SaanichInlet_120m_11_179,0.232609
SI072_120m,SaanichInlet_120m_11_18,0.204464
SI072_120m,SaanichInlet_120m_11_180,0.611225
SI072_120m,SaanichInlet_120m_11_181,0.191899
SI072_120m,SaanichInlet_120m_11_182,0.200013
SI072_120m,SaanichInlet_120m_11_183,0.278916
SI072_120m,SaanichInlet_120m_11_184,0.370869
SI072_120m,SaanichInlet_120m_11_185,0.186125
SI072_120m,SaanichInlet_120m_11_186,0.285284
SI072_120m,SaanichInlet_120m_11_187,0.645492
SI072_120m,SaanichInlet_120m_11_188,0.5625
SI072_120m,SaanichInlet_120m_11_189,0.325675
SI072_120m,SaanichInlet_120m_11_19,0.637807
SI072_120m,SaanichInlet_120m_11_190,0.316793
SI072_120m,SaanichInlet_120m_11_191,0.45335
SI072_120m,SaanichInlet_120m_11_192,0.379079
SI072_120m,SaanichInlet_120m_11_193,0.460269
SI072_120m,SaanichInlet_120m_11_194,0.163854
SI072_120m,SaanichInlet_120m_11_195,0.408484
SI072_120m,SaanichInlet_120m_11_196,0.118584
SI072_120m,SaanichInlet_120m_11_197,0.16331
SI072_120m,SaanichInlet_120m_11_198,0.188699
SI072_120m,SaanichInlet_120m_11_199,0.377656
SI072_120m,SaanichInlet_120m_11_2,0.309955
SI072_120m,SaanichInlet_120m_11_20,0.0774844
SI072_120m,SaanichInlet_120m_11_200,0.101648
SI072_120m,SaanichInlet_120m_11_201,0.301881
SI072_120m,SaanichInlet_120m_11_202,0.43315
SI072_120m,SaanichInlet_120m_11_203,0.111724
SI072_120m,SaanichInlet_120m_11_204,0.334879
SI072_120m,SaanichInlet_120m_11_205,0.310803
SI072_120m,SaanichInlet_120m_11_206,0.754416
SI072_120m,SaanichInlet_120m_11_207,0.382495
SI072_120m,SaanichInlet_120m_11_208,0.274142
SI072_120m,SaanichInlet_120m_11_209,0.286989
SI072_120m,SaanichInlet_120m_11_21,0.20707
SI072_120m,SaanichInlet_120m_11_210,0.0603143
SI072_120m,SaanichInlet_120m_11_211,0.35421
SI072_120m,SaanichInlet_120m_11_212,0.0324403
SI072_120m,SaanichInlet_120m_11_213,0.169448
SI072_120m,SaanichInlet_120m_11_214,1.22016
SI072_120m,SaanichInlet_120m_11_215,0.197038
SI072_120m,SaanichInlet_120m_11_216,0.0673586
SI072_120m,SaanichInlet_120m_11_217,0.140205
SI072_120m,SaanichInlet_120m_11_218,0.381057
SI072_120m,SaanichInlet_120m_11_219,0
SI072_120m,SaanichInlet_120m_11_22,0.308525
SI072_120m,SaanichInlet_120m_11_220,0.290687
SI072_120m,SaanichInlet_120m_11_221,0.114768
SI072_120m,SaanichInlet_120m_11_222,0.366473
SI072_120m,SaanichInlet_120m_11_223,0.942496
SI072_120m,SaanichInlet_120m_11_224,0.0278289
SI072_120m,SaanichInlet_120m_11_225,0.232155
SI072_120m,SaanichInlet_120m_11_226,0.182511
SI072_120m,SaanichInlet_120m_11_227,0.109022
SI072_120m,SaanichInlet_120m_11_228,0.344223
SI072_120m,SaanichInlet_120m_11_229,0.195465
SI072_120m,SaanichInlet_120m_11_23,0.0787231
SI072_120m,SaanichInlet_120m_11_230,0.154259
SI072_120m,SaanichInlet_120m_11_231,0.105154
SI072_120m,SaanichInlet_120m_11_232,0.029144
SI072_120m,SaanichInlet_120m_11_233,0
SI072_120m,SaanichInlet_120m_11_234,0.331444
SI072_120m,SaanichInlet_120m_11_235,0.412541
SI072_120m,SaanichInlet_120m_11_236,0.402673
SI072_120m,SaanichInlet_120m_11_237,2.43516
SI072_120m,SaanichInlet_120m_11_238,0.244156
SI072_120m,SaanichInlet_120m_11_239,1.98678
SI072_120m,SaanichInlet_120m_11_24,0.155307
SI072_120m,SaanichInlet_120m_11_240,0.312892
SI072_120m,SaanichInlet_120m_11_241,1.09378
SI072_120m,SaanichInlet_120m_11_242,0.161416
SI072_120m,SaanichInlet_120m_11_243,8.98309
SI072_120m,SaanichInlet_120m_11_244,0.428597
SI072_120m,SaanichInlet_120m_11_245,0.303072
SI072_120m,SaanichInlet_120m_11_246,0.141179
SI072_120m,SaanichInlet_120m_11_247,0.145627
SI072_120m,SaanichInlet_120m_11_248,0.912511
SI072_120m,SaanichInlet_120m_11_249,0.0710833
SI072_120m,SaanichInlet_120m_11_25,0.564456
SI072_120m,SaanichInlet_120m_11_250,0.120788
SI072_120m,SaanichInlet_120m_11_251,0.409111
SI072_120m,SaanichInlet_120m_11_252,0.480711
SI072_120m,SaanichInlet_120m_11_253,0.329118
SI072_120m,SaanichInlet_120m_11_254,0.26459
SI072_120m,SaanichInlet_120m_11_255,0.392897
SI072_120m,SaanichInlet_120m_11_256,0.408536
SI072_120m,SaanichInlet_120m_11_257,0.202267
SI072_120m,SaanichInlet_120m_11_258,0.404873
